file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\UserServices.java,com.transport.university.universitytransportsystem.service.UserServices,blockUser/1[java.lang.Integer],false,26,1,0,0,0,2,4,8,2,1,1,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\driver\DriverIdException.java,com.transport.university.universitytransportsystem.exceptions.driver.DriverIdException,DriverIdException/1[java.lang.String],true,8,0,4,4,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\exceptions\notification\NotificationIdException.java,com.transport.university.universitytransportsystem.exceptions.notification.NotificationIdException,NotificationIdException/1[java.lang.String],true,9,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\StoppageServices.java,com.transport.university.universitytransportsystem.service.StoppageServices,getStoppageById/1[java.lang.Integer],false,32,2,2,1,1,2,2,6,1,0,1,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,12,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\StoppageServices.java,com.transport.university.universitytransportsystem.service.StoppageServices,save/1[com.transport.university.universitytransportsystem.model.Stoppage],false,18,1,2,2,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\StoppageServices.java,com.transport.university.universitytransportsystem.service.StoppageServices,getStoppageByName/1[java.lang.String],false,26,2,3,1,2,3,2,5,3,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\StoppageServices.java,com.transport.university.universitytransportsystem.service.StoppageServices,deleteStoppageById/1[java.lang.Integer],false,39,1,2,1,1,2,2,6,0,0,1,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,12,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\StoppageServices.java,com.transport.university.universitytransportsystem.service.StoppageServices,getAllStoppage/0,false,22,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\NotificationServices.java,com.transport.university.universitytransportsystem.service.NotificationServices,generateNotificationAboutRequisition/1[com.transport.university.universitytransportsystem.model.Requisition],false,75,3,3,1,2,1,13,7,0,2,1,13,1,1,0,0,0,0,17,0,2,1,0,0,0,0,11,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\NotificationServices.java,com.transport.university.universitytransportsystem.service.NotificationServices,generateNotificationAboutSchedule/1[com.transport.university.universitytransportsystem.model.Schedule],false,41,3,3,1,2,4,16,10,0,3,1,16,1,1,0,3,0,3,22,0,4,2,1,0,0,0,16,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\NotificationServices.java,com.transport.university.universitytransportsystem.service.NotificationServices,getAll/0,false,33,1,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\NotificationServices.java,com.transport.university.universitytransportsystem.service.NotificationServices,saveOrUpdate/1[com.transport.university.universitytransportsystem.model.Notification],false,37,1,3,3,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\service\NotificationServices.java,com.transport.university.universitytransportsystem.service.NotificationServices,getNotification/1[java.lang.Long],false,26,2,2,1,1,2,2,6,1,0,1,2,0,0,0,0,0,0,2,0,0,1,1,0,0,0,9,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\NotificationController.java,com.transport.university.universitytransportsystem.controller.NotificationController,"createNotification/2[com.transport.university.universitytransportsystem.model.Notification,com.transport.university.universitytransportsystem.controller.BindingResult]",false,37,8,2,0,2,2,2,5,2,1,2,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,7,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\NotificationController.java,com.transport.university.universitytransportsystem.controller.NotificationController,getAll/0,false,32,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\NotificationController.java,com.transport.university.universitytransportsystem.controller.NotificationController,getNotification/1[java.lang.Long],false,27,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,9,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RequisitionController.java,com.transport.university.universitytransportsystem.controller.RequisitionController,"create/2[com.transport.university.universitytransportsystem.model.Requisition,com.transport.university.universitytransportsystem.controller.BindingResult]",false,32,9,3,0,3,2,3,6,2,1,2,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,7,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RequisitionController.java,com.transport.university.universitytransportsystem.controller.RequisitionController,delete/1[java.lang.Long],false,50,4,1,0,1,1,1,4,1,0,1,1,0,0,0,0,0,0,4,0,0,1,0,0,0,0,5,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RequisitionController.java,com.transport.university.universitytransportsystem.controller.RequisitionController,getAll/0,false,40,3,1,0,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\controller\RequisitionController.java,com.transport.university.universitytransportsystem.controller.RequisitionController,getOne/1[java.lang.Long],false,45,4,1,0,1,1,1,3,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,false
C:\projects\University-Transport-System\rest-api\src\main\java\com\transport\university\universitytransportsystem\web\CustomWebMvcConfiguration.java,com.transport.university.universitytransportsystem.web.CustomWebMvcConfiguration,addViewControllers/1[com.transport.university.universitytransportsystem.web.ViewControllerRegistry],false,11,1,0,0,0,1,2,5,0,0,1,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,6,1,0,false
