file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\SpreadsheetBiConsumers.java,walkingkooka.spreadsheet.SpreadsheetBiConsumers,class,5,6,1,5,2,1,0,1,1,0.0,NaN,NaN,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\reference\SpreadsheetColumnReferenceRangeTest.java,walkingkooka.spreadsheet.reference.SpreadsheetColumnReferenceRangeTest$Anonymous1,anonymous,3,3,0,3,3,1,0,2,3,0.0,0.0,0.0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,3,0,0,0,0,0,0,0,0,13,-1,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\meta\SpreadsheetMetadataPropertyNameExpressionNumberKindTest.java,walkingkooka.spreadsheet.meta.SpreadsheetMetadataPropertyNameExpressionNumberKindTest,class,4,4,0,4,7,3,0,5,21,0.0,0.0,0.0,7,0,4,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,3,0,0,0,0,0,0,0,0,23,17,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterMode.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterMode$Anonymous1,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,-1,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\format\FractionSpreadsheetFormatterMode.java,walkingkooka.spreadsheet.format.FractionSpreadsheetFormatterMode$Anonymous2,anonymous,1,1,0,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,-1,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\parser\SpreadsheetParserToken.java,walkingkooka.spreadsheet.parser.SpreadsheetParserToken,class,85,225,140,85,239,1,2,70,23998,0.9916085,0.111106284,0.111106284,220,138,138,8,0,74,215,5,73,0,13,12,0,3,0,10,13,0,165,804,210,2,6,2,0,10,7,25,8,21,3,0,0,0,237,1025,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\pattern\SpreadsheetParserPattern2ExpressionEvaluationContextTest.java,walkingkooka.spreadsheet.format.pattern.SpreadsheetParserPattern2ExpressionEvaluationContextTest,class,2,2,0,2,1,2,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatGreaterThanParserTokenTest.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatGreaterThanParserTokenTest$Anonymous1,anonymous,6,6,0,6,8,1,0,4,28,0.0,0.0,0.0,8,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,41,3,0,0,0,0,8,0,0,0,0,0,0,0,0,20,-1,0
C:\projects\walkingkooka-spreadsheet\src\main\java\walkingkooka\spreadsheet\security\GroupName.java,walkingkooka.spreadsheet.security.GroupName,class,7,13,6,7,18,1,0,21,52,0.9166667,0.33333334,0.41666666,12,3,7,4,0,1,9,0,0,0,8,7,0,8,0,0,8,0,3,57,11,0,2,0,0,4,2,8,2,8,1,0,0,0,73,17,0
C:\projects\walkingkooka-spreadsheet\src\test\java\walkingkooka\spreadsheet\format\parser\SpreadsheetFormatYearParserTokenTest.java,walkingkooka.spreadsheet.format.parser.SpreadsheetFormatYearParserTokenTest$Anonymous1,anonymous,4,4,0,4,5,1,0,2,10,0.0,0.0,0.0,5,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,24,2,0,0,0,0,5,0,0,0,0,0,0,0,0,13,-1,0
